2025-05-28 09:12:20.313462+0000	INFO	             env/logging.go:42	=====================> Service started SCION Control Service cs2-ff00_0_211-1
  Scion version: 

  pid:           188579
  euid/egid:     1000 1000
  cmd line:      ["bin/control" "--config" "gen/ASff00_0_211/cs2-ff00_0_211-1.toml"]

2025-05-28 09:12:21.050204+0000	DEBUG	       beaconing/writer.go:254	Registered beacons	{"debug_id": "8a10170f", "seg_type": "down", "count": 0, "start_isd_ases": 0}
2025-05-28 09:12:21.050473+0000	DEBUG	       beaconing/writer.go:254	Registered beacons	{"debug_id": "2f352c5e", "seg_type": "up", "count": 0, "start_isd_ases": 0}
2025-05-28 09:12:26.040326+0000	DEBUG	    trust/crypto_loader.go:115	Ignoring existing TRC	{"file": "gen/ASff00_0_211/certs/ISD1-B1-S1.trc"}
2025-05-28 09:12:26.040344+0000	DEBUG	    trust/crypto_loader.go:115	Ignoring existing TRC	{"file": "gen/ASff00_0_211/certs/ISD2-B1-S1.trc"}
2025-05-28 09:12:26.040349+0000	DEBUG	    trust/crypto_loader.go:115	Ignoring existing TRC	{"file": "gen/ASff00_0_211/certs/ISD3-B1-S1.trc"}
2025-05-28 09:12:26.040353+0000	DEBUG	    trust/crypto_loader.go:115	Ignoring existing TRC	{"file": "gen/ASff00_0_211/certs/ISD4-B1-S1.trc"}
2025-05-28 09:12:26.040357+0000	DEBUG	    trust/crypto_loader.go:115	Ignoring existing TRC	{"file": "gen/ASff00_0_211/certs/ISD5-B1-S1.trc"}
2025-05-28 09:12:26.041054+0000	DEBUG	     trust/crypto_loader.go:66	Ignoring existing certificate chain	{"file": "gen/ASff00_0_211/crypto/as/ISD2-ASff00_0_211.pem"}
2025-05-28 09:12:26.041362+0000	INFO	        trust/signer_gen.go:78	Generated new signer	{"subject_key_id": "628df2d00b1362852e48398424b5e552f9246296", "expiration": "2025-05-31 09:09:17.000000+0000"}
2025-05-28 09:12:26.043669+0000	DEBUG	        grpc/interceptor.go:74	Serving RPC	{"debug_id": "997c6f7b", "trace_id": "0e8271327d6934e2", "method": "/proto.control_plane.v1.SegmentCreationService/Beacon"}
2025-05-28 09:12:26.043866+0000	DEBUG	       beaconing/handler.go:76	Received beacon	{"debug_id": "997c6f7b", "trace_id": "0e8271327d6934e2", "beacon": "Ingress: 33081 Segment: [ ID: b39e03f9a1ebdfedadb11afc Timestamp: 2025-05-28 09:12:26+0000 Hops: 2-ff00:0:210 44262 ]", "upstream": "2-ff00:0:210"}
2025-05-28 09:12:26.043941+0000	DEBUG	trust/fetching_provider.go:180	TRC notify	{"debug_id": "997c6f7b", "trace_id": "0e8271327d6934e2", "beacon": "Ingress: 33081 Segment: [ ID: b39e03f9a1ebdfedadb11afc Timestamp: 2025-05-28 09:12:26+0000 Hops: 2-ff00:0:210 44262 ]", "upstream": "2-ff00:0:210", "id": "ISD2-B1-S1"}
2025-05-28 09:12:26.044215+0000	DEBUG	 trust/fetching_provider.go:85	Getting chains	{"debug_id": "997c6f7b", "trace_id": "0e8271327d6934e2", "beacon": "Ingress: 33081 Segment: [ ID: b39e03f9a1ebdfedadb11afc Timestamp: 2025-05-28 09:12:26+0000 Hops: 2-ff00:0:210 44262 ]", "upstream": "2-ff00:0:210", "isd_as": "2-ff00:0:210", "validity": "not_before=2025-05-28T09:12:26Z, not_after=2025-05-28T15:12:26Z", "subject_key_id": "bdf9db123974aa5a885bd43a9d97446c5edb39e0"}
