2025-05-28 09:12:20.346522+0000	INFO	             env/logging.go:42	=====================> Service started SCION Daemon sd4-ff00_0_410
  Scion version: 

  pid:           188710
  euid/egid:     1000 1000
  cmd line:      ["bin/daemon" "--config" "gen/ASff00_0_410/sd.toml"]

2025-05-28 09:14:19.948701+0000	DEBUG	 trust/fetching_provider.go:85	Getting chains	{"debug_id": "d730cdbd", "trace_id": "400c1924088e9a10", "isd_as": "1-ff00:0:110", "validity": "not_before=2025-05-28T09:14:06Z, not_after=2025-05-28T15:14:06Z", "subject_key_id": "603e8d280a3f8ca36ca6d2e272e489927ecf97b3"}
2025-05-28 09:14:19.948694+0000	DEBUG	trust/fetching_provider.go:180	TRC notify	{"id": "ISD1-B1-S1"}
2025-05-28 09:14:19.948927+0000	DEBUG	 trust/fetching_provider.go:85	Getting chains	{"isd_as": "1-ff00:0:110", "validity": "not_before=2025-05-28T09:14:06Z, not_after=2025-05-28T15:14:06Z", "subject_key_id": "603e8d280a3f8ca36ca6d2e272e489927ecf97b3"}
2025-05-28 09:14:19.949079+0000	DEBUG	            grpc/fetcher.go:65	Fetch certificate chain from remote	{"debug_id": "d730cdbd", "trace_id": "400c1924088e9a10", "isd_as": "1-ff00:0:110", "validity": "not_before=2025-05-28T09:14:06Z, not_after=2025-05-28T15:14:06Z", "subject_key_id": "603e8d280a3f8ca36ca6d2e272e489927ecf97b3", "server": "127.0.0.123:31060"}
2025-05-28 09:14:19.949191+0000	DEBUG	        grpc/interceptor.go:41	Outgoing RPC	{"debug_id": "20dbb1fa", "trace_id": "400c1924088e9a10", "method": "/proto.control_plane.v1.TrustMaterialService/Chains", "target": "127.0.0.123:31060"}
2025-05-28 09:14:19.949238+0000	DEBUG	            grpc/fetcher.go:65	Fetch certificate chain from remote	{"isd_as": "1-ff00:0:110", "validity": "not_before=2025-05-28T09:14:06Z, not_after=2025-05-28T15:14:06Z", "subject_key_id": "603e8d280a3f8ca36ca6d2e272e489927ecf97b3", "server": "127.0.0.123:31060"}
2025-05-28 09:14:19.949352+0000	DEBUG	        grpc/interceptor.go:41	Outgoing RPC	{"debug_id": "2179d023", "trace_id": "400c1924088e9a10", "method": "/proto.control_plane.v1.TrustMaterialService/Chains", "target": "127.0.0.123:31060"}
2025-05-28 09:14:19.951215+0000	DEBUG	            grpc/fetcher.go:90	Received certificate chains from remote	{"isd_as": "1-ff00:0:110", "chains": 1}
2025-05-28 09:14:19.951209+0000	DEBUG	            grpc/fetcher.go:90	Received certificate chains from remote	{"debug_id": "d730cdbd", "trace_id": "400c1924088e9a10", "isd_as": "1-ff00:0:110", "chains": 1}
2025-05-28 09:14:19.954838+0000	DEBUG	 trust/fetching_provider.go:85	Getting chains	{"debug_id": "d730cdbd", "trace_id": "400c1924088e9a10", "isd_as": "1-ff00:0:120", "validity": "not_before=2025-05-28T09:14:06Z, not_after=2025-05-28T15:14:06Z", "subject_key_id": "2cff91ba10a841f332a74edc3cc8c129de9a0366"}
